doc_id,domain,title,date_published,collection,tags,url
"56","bbc.co.uk","BBC News - Typhoon Haiyan: US carrier boosts Philippines relief effort","2013-11-15T02:49:05+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24936387"
"57","bbc.co.uk","BBC News - Isle of Man Typhoon Haiyan collection raises thousands","2013-11-24T09:17:15+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-europe-isle-of-man-25058872"
"58","bbc.co.uk","BBC News - Scotland can still take climate change lead says minister","2013-11-19T10:29:58+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-scotland-24985675"
"58","bbc.co.uk","BBC News - Scotland can still take climate change lead says minister","2013-11-19T10:29:58+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-scotland-24985675"
"59","bbc.co.uk","BBC News - Typhoon Haiyan: Beckhams clothes sale prompts queues","2013-11-22T13:20:45+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-25037495"
"6","bbc.co.uk","BBC - Newsbeat - Typhoon Haiyan survivors: Please don't forget us","2013-11-30T05:54:31+00:00","haiyan","bbc","http://www.bbc.co.uk/newsbeat/25143181"
"60","bbc.co.uk","BBC News - Typhoon Haiyan: Survivors' stories in the Philippines","2013-11-12T10:29:56+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24896060"
"61","bbc.co.uk","BBC News - Optimism as Tacloban faces rebuilding challenge","2013-12-09T03:52:47+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-25288126"
"62","bbc.co.uk","BBC News - Trauma of Northern Ireland's Filipino community","2013-11-13T20:20:54+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-northern-ireland-24918031"
"63","bbc.co.uk","BBC News - Typhoon Haiyan death toll rises over 5,000","2013-11-23T11:10:08+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-25051606"
"64","bbc.co.uk","BBC News - Philippines typhoon survivors attend church services","2013-11-18T06:10:46+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24977113"
"65","bbc.co.uk","BBC News - Guernsey charity pair named in New Year Honours list","2013-12-31T00:34:57+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-europe-guernsey-25527146"
"66","bbc.co.uk","BBC News - Philippines: Rush to get Tacloban hospital online","2013-11-14T13:43:10+00:00","haiyan","bbc","http://www.bbc.co.uk/news/technology-24925936"
"67","bbc.co.uk","BBC News - Your pictures: Devastation of Typhoon Haiyan","2013-11-12T05:52:42+00:00","haiyan","bbc","http://www.bbc.co.uk/news/in-pictures-24890661"
"68","bbc.co.uk","BBC News - Typhoon Haiyan: BBC reports from the Philippines","2013-11-13T06:37:33+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24906181"
"69","bbc.co.uk","BBC News - Typhoon Haiyan: Philippines defends aid response","2013-11-14T13:17:17+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24928138"
"7","bbc.co.uk","BBC News - In pictures: Tacloban in ruins","2013-11-11T08:34:42+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24887718"
"70","bbc.co.uk","BBC News - Typhoon Haiyan: Tim Willcox answers your questions","2013-11-16T12:26:53+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24953077"
"70","bbc.co.uk","BBC News - Typhoon Haiyan: Tim Willcox answers your questions","2013-11-16T12:26:53+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24953077"
"71","bbc.co.uk","BBC News - UK newspaper review: Bank chief drug sting on front page","2013-11-17T23:12:50+00:00","haiyan","bbc","http://www.bbc.co.uk/news/blogs-the-papers-24976130"
"72","bbc.co.uk","BBC News - Aid agencies say typhoon shows need for action on climate change","2013-11-18T00:04:11+00:00","haiyan","bbc","http://www.bbc.co.uk/news/science-environment-24975106"
"73","bbc.co.uk","BBC News - Typhoon could cut Philippines growth by 1% next year","2013-11-15T01:42:50+00:00","haiyan","bbc","http://www.bbc.co.uk/news/business-24936249"
"74","bbc.co.uk","BBC - Newsbeat - Typhoon Haiyan: Impact felt in the Philippines","2013-11-12T15:16:24+00:00","haiyan","bbc","http://www.bbc.co.uk/newsbeat/24900586"
"75","bbc.co.uk","BBC News - Tacloban: City at the centre of the storm","2013-11-11T16:07:33+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24891456"
"76","bbc.co.uk","BBC News - Karl Pilkington Philippines show shelved by Sky","2013-11-14T17:00:06+00:00","haiyan","bbc","http://www.bbc.co.uk/news/entertainment-arts-24924889"
"77","bbc.co.uk","BBC News - Typhoon Haiyan: Before and after the storm","2013-11-12T12:57:56+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-24899001"
"78","bbc.co.uk","BBC News - In pictures: Typhoon Haiyan","2013-11-09T04:07:12+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24862789"
"79","bbc.co.uk","BBC News - Typhoon Haiyan: Searching for families and supplies","2013-11-12T15:07:16+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24897086"
"8","bbc.co.uk","BBC News - Typhoon prompts 'fast' by Philippines climate delegate","2013-11-12T13:35:16+00:00","haiyan","bbc","http://www.bbc.co.uk/news/science-environment-24899647"
"80","bbc.co.uk","BBC News - Typhoon Haiyan: US missionary delivers aid","2013-11-12T10:14:40+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24897085"
"81","bbc.co.uk","BBC News - Typhoon Haiyan: Scottish people urged to support DEC appeal","2013-11-13T13:38:24+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-scotland-24911800"
"81","bbc.co.uk","BBC News - Typhoon Haiyan: Scottish people urged to support DEC appeal","2013-11-13T13:38:24+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-scotland-24911800"
"82","bbc.co.uk","BBC News - Typhoon Haiyan: I should be by my wife's side","2013-11-13T14:53:11+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24909141"
"83","bbc.co.uk","BBC News - Typhoon Haiyan: Philippines declares state of calamity","2013-11-12T14:33:37+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24901993"
"84","bbc.co.uk","BBC News - Typhoon Haiyan: UK aid work under way in Philippines","2013-11-14T03:50:42+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24922083"
"85","bbc.co.uk","BBC News - Newspaper Review: Philippines typhoon devastation","2013-11-12T05:35:05+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24894787"
"86","bbc.co.uk","BBC News - 2013 'one of warmest' on record","2013-11-14T11:37:32+00:00","haiyan","bbc","http://www.bbc.co.uk/news/science-environment-24925580"
"87","bbc.co.uk","BBC News - China media: Typhoon aid","2013-11-16T06:23:28+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-china-24952419"
"88","bbc.co.uk","BBC News - Typhoon Haiyan: Guernsey appeal raises £93k","2014-02-29T13:21:03+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-europe-guernsey-26357666"
"88","bbc.co.uk","BBC News - Typhoon Haiyan: Guernsey appeal raises £93k","2014-02-29T13:21:03+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-europe-guernsey-26357666"
"89","bbc.co.uk","BBC News - Ferocious winds drove Tacloban surge","2013-11-12T15:53:50+00:00","haiyan","bbc","http://www.bbc.co.uk/news/science-environment-24903698"
"9","bbc.co.uk","BBC News - Typhoon Haiyan: Fight for life in Tacloban intensifies","2013-11-12T17:28:34+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24903950"
