doc_id,domain,title,date_published,collection,tags,url,summary
haiyan-google_51-61_w20(10),youtube.com,Channel News Asia - Typhoon Haiyan: One Month On - YouTube,,haiyan,google,http://www.youtube.com/watch?v=4j_5zPLbn-I,"CNA&#39;s AM Live Steven Chia, Yvonne Yong, Jack Board, and Steven Clark (CNA <br> Exec Producer) discusses Tacloban&#39;s situation one month after being hit by&nbsp;..."
haiyan-google_51-61_w20(2),wmo.int,Typhoon Committee Workshop Focuses on Haiyan,,haiyan,google,https://www.wmo.int/pages/mediacentre/news/TyphoonCommitteeWorkshopFocusesonHaiyan.html,<b>News</b>. 2 December 2013. Typhoon Committee Workshop Focuses on Haiyan. <br> The impact and implications of <b>Typhoon Haiyan</b> (Yolanda) will be reviewed at the<br> &nbsp;...
haiyan-google_51-61_w20(3),dailynews.com,"Los Angeles chefs, bartenders raise $10,000 for Typhoon Haiyan ...",,haiyan,google,http://www.dailynews.com/lifestyle/20131209/los-angeles-chefs-bartenders-raise-10000-for-typhoon-haiyan-relief-at-lalovespi,"By Mariecar Mendoza, Los Angeles Daily <b>News</b>. Posted: 12/09/13, ... <b>Typhoon</b> <br> <b>Haiyan</b>, known as Yolanda in the Philippines, made landfall Nov. 8 with its 200&nbsp;..."
haiyan-google_51-61_w20(4),news.syr.edu,Students Organize Initiatives for Typhoon Haiyan Relief,,haiyan,google,http://news.syr.edu/students-organize-initiatives-for-typhoon-haiyan-relief-35281/,"On Nov. 8, <b>Typhoon Haiyan</b>, one of the strongest storms ever recorded, slammed <br> into portions of Southeast Asia, hitting the Philippines particularly hard."
haiyan-google_51-61_w20(5),newscientist.com,Typhoon Haiyan: baby girl death toll will rise - health - 25 November ...,,haiyan,google,http://www.newscientist.com/article/dn24644-typhoon-haiyan-baby-girl-death-toll-will-rise.html,"Fifteen times as many people die in the Philippines the year after a typhoon ... <br> <b>News</b> ... <b>Typhoon Haiyan</b>, the monster storm that hit the central Philippines on 8&nbsp;..."
haiyan-google_51-61_w20(6),billboard.com,"Gin blossoms, david byrne, journey rise to benefit typhoon haiyan ...",,haiyan,google,http://www.billboard.com/articles/news/5800657/typhoon-haiyan-music-benefits-gin-blossoms-journey-david-byrne,"Yet since <b>Typhoon Haiyan</b> killed more than 5,000 and displaced more than 4 <br> million ... Incubus&#39; Make Yourself Foundation says it will match funds the <b>news</b> <br> site&nbsp;..."
haiyan-google_51-61_w20(7),europa.eu,Typhoon Haiyan: European Commission increases aid to €40 million,,haiyan,google,http://europa.eu/rapid/press-release_IP-13-1264_en.htm,"European Commission - Press Release details page - European Commission <br> Press release Brussels, 17 December 2013 The European Commission is <br> making&nbsp;..."
haiyan-google_51-61_w20(8),youtube.com,BBC News - Typhoon Haiyan: HMS Illustrious brings aid to ...,,haiyan,google,http://www.youtube.com/watch?v=AeIZXEORnUk,"The British aircraft carrier, HMS Illustrious has arrived in the Philippines, carrying <br> 500 tonnes of relief aid for victims of <b>Typhoon Haiyan</b>. Helicopters ar..."
haiyan-google_51-61_w20(9),sportsillustrated.cnn.com,Manny Pacquiao says he&apos;s borrowing to give aid after Typhoon Haiyan,,haiyan,google,http://sportsillustrated.cnn.com/mma/news/20131126/manny-pacquiao-borrowing-typhoon-haiyan-aid.ap/,"Fierce winds and tsunami-like storm surges from <b>Typhoon Haiyan</b>, one of the <br> strongest typhoons on record, demolished entire communities and ... Latest <b>News</b><br> ."
haiyan-google_51-61_w21(1),preventionweb.net,Typhoon Haiyan (Yolanda) 2013 - News - Professional Resources ...,,haiyan,google,http://www.preventionweb.net/english/professional/news/tags/index.php/pw:typhoonhaiyan2013/Typhoon%20Haiyan%20(Yolanda)%202013/,The Mayor of the worst-hit city of the <b>Typhoon Haiyan</b> disaster believes the city&#39;s <br> future prosperity depends on &#39;transformational development&#39; that rebuilds&nbsp;...
