doc_id,domain,title,date_published,date_query,collection,tags,url,summary
"haiyan-google_81-91_w21(07)","hotnewhiphop.com","Diddy&apos;s Children Send Supplies To Philippine Victims Of Typhoon ...","Nov 17, 2013 at 03:30 PM","w21[2014-04-09]","haiyan","google","http://www.hotnewhiphop.com/diddy-s-children-send-supplies-to-philippine-victims-of-typhoon-haiyan-news.8173.html","Diddy&#39;s children are sending supplies to victims of <b>Typhoon Haiyan</b> in the <br> Philippines. For those currently living under a rock, <b>Typhoon Haiyan</b> swept the <br> Phil... ... Home &gt; <b>News</b> &gt; Diddy&#39;s Children Send Supplies To Philippine Victims Of<br> &nbsp;..."
"haiyan-google_81-91_w21(08)","dailynews.com","Los Angeles chefs, bartenders raise $10,000 for Typhoon Haiyan ...","","w21[2014-04-09]","haiyan","google","http://www.dailynews.com/lifestyle/20131209/los-angeles-chefs-bartenders-raise-10000-for-typhoon-haiyan-relief-at-lalovespi","By Mariecar Mendoza, Los Angeles Daily <b>News</b>. Posted: 12/09/13, ... <b>Typhoon</b> <br> <b>Haiyan</b>, known as Yolanda in the Philippines, made landfall Nov. 8 with its 200&nbsp;..."
"haiyan-google_81-91_w21(09)","news.syr.edu","Students Organize Initiatives for Typhoon Haiyan Relief","","w21[2014-04-09]","haiyan","google","http://news.syr.edu/students-organize-initiatives-for-typhoon-haiyan-relief-35281/","On Nov. 8, <b>Typhoon Haiyan</b>, one of the strongest storms ever recorded, slammed <br> into portions of Southeast Asia, hitting the Philippines particularly hard."
"haiyan-google_81-91_w21(10)","newscientist.com","Typhoon Haiyan: baby girl death toll will rise - health - 25 November ...","","w21[2014-04-09]","haiyan","google","http://www.newscientist.com/article/dn24644-typhoon-haiyan-baby-girl-death-toll-will-rise.html","Fifteen times as many people die in the Philippines the year after a typhoon ... <br> <b>News</b> ... <b>Typhoon Haiyan</b>, the monster storm that hit the central Philippines on 8&nbsp;..."
"haiyan-google_91-101_w17(01)","bangkokpost.com","Super Typhoon Haiyan | Thailand&apos;s Search By Bangkok Post","","w17[2014-04-09]","haiyan","google","http://www.bangkokpost.com/search/news-and-article/Super+Typhoon+Haiyan","Results for Super <b>Typhoon Haiyan</b> By thailand&#39;s search | Newspaper Online from <br> ... 1. <b>news</b> | 28 Feb 2014. Corpses still being found in Philippine typhoon zone."
"haiyan-google_91-101_w17(02)","3news.co.nz","Typhoon Haiyan: 3 months on - Story - World - 3 News","","w17[2014-04-09]","haiyan","google","http://www.3news.co.nz/Typhoon-Haiyan-3-months-on/tabid/417/articleID/331613/Default.aspx","Residents in the central Philippines have made tremendous progress after <br> <b>Typhoon Haiyan</b>, UNICEF says."
"haiyan-google_91-101_w17(03)","msf.org","Philippines: Three months on from typhoon Haiyan | Médecins Sans ...","","w17[2014-04-09]","haiyan","google","http://www.msf.org/article/philippines-three-months-typhoon-haiyan","Two children look out across the Tacloban slum, which was badly damaged by <br> <b>typhoon Haiyan</b>. Despite the destruction, three months after the typhoon many&nbsp;..."
"haiyan-google_91-101_w17(04)","thestar.com","Moments in time: Typhoon Haiyan | Toronto Star","","w17[2014-04-09]","haiyan","google","http://www.thestar.com/news/gta/2014/01/01/moments_in_time_typhoon_haiyan.html","<b>News</b> / GTA ... searches in Tanauan, Philippines, for her missing daughter, Mary <br> Grace Rogelio, who was three months pregnant when <b>Typhoon Haiyan</b> hit."
"haiyan-google_91-101_w17(05)","news.iheart.com","Alice In Chains auction raising funds for Typhoon Haiyan relief","","w17[2014-04-09]","haiyan","google","http://news.iheart.com/articles/rock-news-104648/alice-in-chains-auction-raising-funds-11963643/","... Rock <b>News</b> » Alice In Chains auction raising funds for <b>Typhoon Haiyan</b> relief ... <br> for the victims of the typhoon that struck the Philippines this past November."
"haiyan-google_91-101_w17(06)","calvinayre.com","The Rebuilding Continues after Typhoon Haiyan : CalvinAyre.com","","w17[2014-04-09]","haiyan","google","http://calvinayre.com/2014/01/24/business/calvin-ayre-foundation-rebuilding-continues-after-typhoon-haiyan/","A little over two months ago, <b>Typhoon Haiyan</b>, known locally as Yolanda, ... <br> Twitter and Facebook, then you&#39;ll never miss out on the latest gaming industry <br> <b>news</b>."
"haiyan-google_91-101_w17(07)","massgeneral.org","Typhoon Haiyan: Looking back and moving forward - Massachusetts ...","","w17[2014-04-09]","haiyan","google","http://www.massgeneral.org/about/newsarticle.aspx?id=4640","On Nov. 8, 2013, <b>Typhoon Haiyan</b> battered the Philippines, killing more than <br> 6000 people and making it the most deadly typhoon in that nation&#39;s history."
"haiyan-google_91-101_w17(08)","thehindu.com","Typhoon Haiyan deaths in Philippines breach 6000 - The Hindu","","w17[2014-04-09]","haiyan","google","http://www.thehindu.com/news/international/world/typhoon-haiyan-deaths-in-philippines-breach-6000/article5455375.ece","Officials said the death toll from <b>Typhoon Haiyan</b> that struck the central ... <br> Keywords: <b>Typhoon Haiyan</b>, Philippines ... This <b>article</b> is closed for comments."
"haiyan-google_91-101_w17(09)","fairfaxtimes.com","Going home after Typhoon Haiyan -- FairfaxTimes.com","","w17[2014-04-09]","haiyan","google","http://www.fairfaxtimes.com/article/20140214/OPINION/140219437/1065/going-home-after-typhoon-haiyan&template=fairfaxTimes","I was born and raised in the Philippines and was shocked and heartbroken when <br> I saw <b>news</b> reports about the devastation caused by <b>Typhoon Haiyan</b> — a&nbsp;..."
"haiyan-google_91-101_w17(10)","fas.org","Typhoon Haiyan (Yolanda): U.S. and International Response to ...","","w17[2014-04-09]","haiyan","google","http://www.fas.org/sgp/crs/row/R43309.pdf","This report examines the impact of <b>Typhoon Haiyan</b> (Yolanda), which struck the <br> ...... from various reports available at http://www.reliefweb.int and <b>news</b> articles."
