doc_id,domain,title,date_published,collection,tags,url,summary
"haiyan-google_81-91(9)","cnn.com","Without phones, typhoon victims turn to TV to tell the worst of news ...","2013-11-12T06:34:40Z","haiyan","google","http://www.cnn.com/2013/11/12/world/asia/typhoon-haiyan-philippines-victims-overseas-relatives/","On Leyte Island, one of the hardest hit areas by <b>Typhoon Haiyan</b>, a man is asked <br> by a television crew if he has a message for relatives living abroad."
"haiyan-google_91-101(1)","ireport.cnn.com","Clean water for Typhoon Haiyan victims - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1062320","I am working here with Jon Rose, founder of Waves for Water, a NGO focused on <br> providing clean water (www.wavesforwater.org), for the past week out of Cebu&nbsp;..."
"haiyan-google_91-101(10)","ireport.cnn.com","Powerful Typhoon Haiyan to Hit Philippines on Friday November 8 ...","","haiyan","google","http://ireport.cnn.com/docs/DOC-1056697","Powerful <b>Typhoon</b> is on its way for Philippines on Friday November 8, 2013 and it <br> will bring real strong winds and it will be over 100 KM/H and it will also bring&nbsp;..."
"haiyan-google_91-101(2)","thelead.blogs.cnn.com","Super Typhoon Haiyan, one of strongest storms ever, hits central ...","","haiyan","google","http://thelead.blogs.cnn.com/2013/11/07/super-typhoon-haiyan-one-of-strongest-storms-ever-hits-central-philippines/","(CNN) -- Super <b>Typhoon Haiyan</b>, one of the strongest tropical cyclones ever <br> observed, made landfall Friday morning in the Philippines, the country&#39;s weather<br> &nbsp;..."
"haiyan-google_91-101(3)","ireport.cnn.com","FOUND: Victims of Super TYPHOON HAIYAN help them to evacuate ...","","haiyan","google","http://ireport.cnn.com/docs/DOC-1059803","Aisa16 is looking for her mother and other members of her family who live in <br> Tacloban, one of the hardest hit areas by <b>Typhoon Haiyan</b>. She last spoke with <br> her&nbsp;..."
"haiyan-google_91-101(4)","features.blogs.fortune.cnn.com","Typhoon Haiyan - FORTUNE Features","","haiyan","google","http://features.blogs.fortune.cnn.com/tag/typhoon-haiyan/","Typhoon victims wait on a street for relief goods at Ling Yun village on the <br> outskirts of ... So let us try a new approach with <b>Typhoon Haiyan</b>, and implement <br> these&nbsp;..."
"haiyan-google_91-101(5)","cnn.com","Impact Your World - CNN.com","","haiyan","google","http://www.cnn.com/SPECIALS/impact.your.world","Residents are still missing after a massive landslide hit a rural community just <br> north of Seattle March 22. The slide was so powerful it crushed almost everything<br> &nbsp;..."
"haiyan-google_91-101(6)","edition.cnn.com","great time-lapse videos","","haiyan","google","http://edition.cnn.com/video/data/2.0/video/world/2013/11/11/pkg-stevens-typhoon-haiyan-reporters-notebook.cnn.html","CNN Video - Breaking News Videos from CNN.com."
"haiyan-google_91-101(7)","ireport.cnn.com","Weather conditions from Typhoon Haiyan - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1058823","very strong winds during the super <b>typhoon</b> @cnninternational @cnnireport #ph <br> #cebu Courtesy @ilovemarkee on Instagram:&nbsp;..."
"haiyan-google_91-101(8)","newday.blogs.cnn.com","Super Typhoon Haiyan, Perhaps Strongest Ever, Plows Across ...","","haiyan","google","http://newday.blogs.cnn.com/2013/11/08/super-typhoon-haiyan-perhaps-strongest-ever-plows-across-philippines/","Super <b>Typhoon Haiyan</b> -- perhaps the strongest storm ever -- plowed Friday <br> across the central Philippines, leaving widespread devastation in its wake. It <br> roared&nbsp;..."
"haiyan-google_91-101(9)","thelead.blogs.cnn.com","A week after Typhoon Haiyan hit, grim realities sink in – The Lead ...","","haiyan","google","http://thelead.blogs.cnn.com/2013/11/15/a-week-after-typhoon-haiyan-hit-grim-realities-sink-in/","A week after <b>Typhoon Haiyan</b> tore through the Philippines, the adrenaline-fueled <br> response to the storm and its aftermath have faded from the streets of Tacloban&nbsp;..."
